Event,City,Year,Participants
Chess Grand Prix,Tokyo Chess Arena,1800,111
Opeen Chess Championship,Vienna Chess Institute,2022,1000
Cheess Tournament Finals,New York Chess Club,999,198
Open Chess Championship,London_Chess_Center,2024,79
Chess Master Tournament,Madrid Chess Palace,2023,197
International Chess League,Tokyo Chess Arena,2024,145
International Chess League,London Chess Center,2024,157
Chess Masters Cup,Madrid Chess Palace,2050,167
Chess Master Tournament,New York Chess Club,2022,2
Chess-Master-Tournament,Madrid Chess Palace,2022,0
Open Chess Championship,Tokyo Chess Arenax,2024,85
Chess Tournament Finals,Madrid Chess Palace,2023,182
International Chess League,Vienna Chess Institute,2024,169
International Chess League,Moscow Chess Hall,2023,196
Chess_Tournament_Finals,Tokyo Chess Arena,2022,999
Chess Masters Cup,Paris Chess Stadium,2024,102
Open Chess Championship,London Chess Center,999,52
World Chess Championship,Paris Chess Stadium,2024,96
International Chess League,Moscow Chess Hall,2022,126
Elite Chess Series,New York Chess Club,3000,162
Chess Master Tournament,Moscow Chess Hall,2024,126
ChessGrandPrix,Vienna Chess Institute,2023,0
Elite Chess Series,London Chess Center,2023,199
Chess Masters Cup,Paris Chess Stadium,2023,115
Chess Masters Cup,Vienna Chess Institute,2023,98
Chess Tournament Finals,Tokyo Chess Arena,2030,196
Chess Masters Cup,Tokyo Chess Arena,2022,167
Open Chess Championship,Vienna Chess Institute,999,107
World Chess Championship,Moscow_Chess_Hall,1900,87
Chess Tournament Finals,Tokyo Chess Arena,2022,999
Chess Grand Prix,Berlin Chess Academy,2022,2
International Chess League,New York Chess Club,2023,156
Elite Chess Series,Tokyo Chess Arena,2022,92
Chess Master Tournament,NewYorkChessClub,2024,121
Chess Masters Cup,Paris Chess Stadium,0,64
Elite Chess Series,New York Chess Club,2022,176
Open Chess Championship,New York Chess Club,2050,116
Chess-Master-Tournament,New York Chess Club,2024,169
Chess Master Tournament,Berlin Chess Academy,2022,59
Chess Grand Prix,London Chess Center,2024,999
