Pokemon_Name,Type,Region,HP,Attack
Dragonite Dragon Pokemon,Ghost Type Pokemon,Unova Pokemon Region,40,75
Mewtwo Legendary Pokemon,Ghost Type Pokemon,Galar Pokemon Region,103,123
Alakazam Psychic Pokemon,Steel Type Pokemon,Sinnoh Pokemon Region,140,43
Alakazam Psychic Pokemon,Electric Type Pokemon,Kalos Pokemon Region,95,119
Lucario Steel Pokemon,Steel Type Pokemon,Alola Pokemon Region,91,150
Venusaur Grass Pokemon,Psychic Type Pokemon,Unova Pokemon Region,45,179
Machamp Fighting Pokemon,Fire Type Pokemon,Kalos Pokemon Region,41,74
Machamp Fighting Pokemon,Dragon Type Pokemon,Kalos Pokemon Region,80,180
Mewtwo Legendary Pokemon,Electric Type Pokemon,Johto Pokemon Region,127,54
Machamp Fighting Pokemon,Ghost Type Pokemon,Johto Pokemon Region,114,45
Charizard Fire Pokemon,Fire Type Pokemon,Johto Pokemon Region,122,150
Gengar Ghost Pokemon,Ice Type Pokemon,Hoenn Pokemon Region,92,43
Blastoise Water Pokemon,Water Type Pokemon,Unova Pokemon Region,67,77
Mewtwo Legendary Pokemon,Water Type Pokemon,Unova Pokemon Region,128,178
Blastoise Water Pokemon,Psychic Type Pokemon,Hoenn Pokemon Region,133,77
Mewtwo Legendary Pokemon,Ice Type Pokemon,Kalos Pokemon Region,125,142
Mewtwo Legendary Pokemon,Dragon Type Pokemon,Alola Pokemon Region,74,57
Gengar Ghost Pokemon,Psychic Type Pokemon,Hoenn Pokemon Region,107,143
Charizard Fire Pokemon,Dragon Type Pokemon,Unova Pokemon Region,48,73
Venusaur Grass Pokemon,Psychic Type Pokemon,Hoenn Pokemon Region,106,52
Gengar Ghost Pokemon,Dragon Type Pokemon,Kanto Pokemon Region,86,67
Lucario Steel Pokemon,Ghost Type Pokemon,Sinnoh Pokemon Region,61,172
Mewtwo Legendary Pokemon,Dragon Type Pokemon,Kanto Pokemon Region,85,117
Blastoise Water Pokemon,Ice Type Pokemon,Kalos Pokemon Region,72,36
Alakazam Psychic Pokemon,Ghost Type Pokemon,Galar Pokemon Region,114,131
Charizard Fire Pokemon,Water Type Pokemon,Kanto Pokemon Region,88,131
Dragonite Dragon Pokemon,Grass Type Pokemon,Sinnoh Pokemon Region,47,105
Blastoise Water Pokemon,Fire Type Pokemon,Unova Pokemon Region,127,101
Lucario Steel Pokemon,Water Type Pokemon,Galar Pokemon Region,91,64
Machamp Fighting Pokemon,Psychic Type Pokemon,Unova Pokemon Region,142,100
Machamp Fighting Pokemon,Ghost Type Pokemon,Hoenn Pokemon Region,125,93
Alakazam Psychic Pokemon,Electric Type Pokemon,Hoenn Pokemon Region,51,37
Gengar Ghost Pokemon,Psychic Type Pokemon,Hoenn Pokemon Region,87,176
Dragonite Dragon Pokemon,Ghost Type Pokemon,Hoenn Pokemon Region,114,67
Charizard Fire Pokemon,Ice Type Pokemon,Alola Pokemon Region,105,114
Machamp Fighting Pokemon,Water Type Pokemon,Johto Pokemon Region,139,79
Mewtwo Legendary Pokemon,Dragon Type Pokemon,Hoenn Pokemon Region,95,151
Mewtwo Legendary Pokemon,Ghost Type Pokemon,Kanto Pokemon Region,95,104
Blastoise Water Pokemon,Grass Type Pokemon,Johto Pokemon Region,55,119
Pikachu Electric Pokemon,Steel Type Pokemon,Kanto Pokemon Region,111,161
Dragonite Dragon Pokemon,Fire Type Pokemon,Kalos Pokemon Region,103,81
Alakazam Psychic Pokemon,Electric Type Pokemon,Sinnoh Pokemon Region,82,107
Venusaur Grass Pokemon,Fighting Type Pokemon,Johto Pokemon Region,121,131
Blastoise Water Pokemon,Steel Type Pokemon,Hoenn Pokemon Region,72,79
Alakazam Psychic Pokemon,Steel Type Pokemon,Galar Pokemon Region,82,115
